timestamps,TP9,AF7,AF8,TP10
1668620271.981,-212.402,-117.188,-168.945,602.539
1668620271.985,-1000.000,-1000.000,-1000.000,-949.707
1668620271.989,-219.238,-249.023,-765.137,-1000.000
1668620271.993,-831.055,-842.285,211.914,-50.293
1668620271.997,242.188,245.605,63.965,-975.098
1668620272.001,-1000.000,-1000.000,-1000.000,-370.117
1668620272.005,-407.715,-664.551,-861.328,-1000.000
1668620272.008,-862.305,970.703,135.742,-205.566
1668620272.012,279.785,392.578,208.008,-850.586
1668620272.016,-1000.000,-1000.000,-901.855,170.410
1668620272.020,-872.070,-1000.000,-973.633,-1000.000
1668620272.024,702.637,301.270,-274.414,-624.023
1668620272.025,809.570,892.578,349.609,-985.840
1668620272.029,-758.301,-644.043,-489.746,264.160
1668620272.033,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.037,10.254,-174.805,-610.352,-1000.000
1668620272.041,-809.570,-836.426,350.586,334.473
1668620272.045,-153.320,-42.480,-75.195,696.777
1668620272.049,-1000.000,-1000.000,-985.840,-884.277
1668620272.052,51.270,-43.457,-742.188,-1000.000
1668620272.056,-850.586,-880.371,183.105,-178.711
1668620272.060,239.258,241.211,127.930,-909.180
1668620272.064,-1000.000,-1000.000,-948.242,-169.922
1668620272.068,-531.738,-800.781,-940.918,-1000.000
1668620272.071,-916.992,823.730,-0.977,-273.438
1668620272.075,421.875,515.625,298.828,-858.887
1668620272.079,-1000.000,-994.629,-796.875,247.070
1668620272.083,-1000.000,-1000.000,-999.512,-1000.000
1668620272.087,484.375,130.859,-359.375,-781.250
1668620272.091,947.266,-990.723,394.043,871.094
1668620272.095,-585.938,-451.172,-340.332,383.301
1668620272.098,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.102,-102.051,-202.148,-671.875,-1000.000
1668620272.106,-831.055,-847.656,349.609,208.496
1668620272.110,16.602,139.648,-5.371,825.684
1668620272.114,-1000.000,-1000.000,-1000.000,-727.539
1668620272.132,-234.863,-430.664,-860.840,-1000.000
1668620272.136,-825.684,-891.113,153.320,-189.453
1668620272.140,244.141,250.000,152.832,-882.812
1668620272.144,-1000.000,-1000.000,-979.492,-36.133
1668620272.148,-630.371,-929.688,-930.176,-1000.000
1668620272.152,-978.027,640.137,-30.273,-420.410
1668620272.156,546.875,639.160,358.887,-903.809
1668620272.159,-975.586,-921.875,-683.105,258.301
1668620272.163,-1000.000,-1000.000,-994.141,-1000.000
1668620272.167,248.535,-38.086,-316.895,-906.250
1668620272.171,-935.547,-901.367,453.125,706.055
1668620272.175,-401.367,-233.887,-250.000,497.070
1668620272.175,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.179,-214.355,-221.191,-735.352,-1000.000
1668620272.183,-818.359,-815.918,246.582,79.590
1668620272.187,83.008,178.223,6.836,934.570
1668620272.191,-1000.000,-1000.000,-992.188,-555.664
1668620272.195,-29.297,-292.480,-833.984,-1000.000
1668620272.199,-860.840,-967.773,91.797,-202.637
1668620272.202,239.258,300.781,180.176,-857.910
1668620272.206,-1000.000,-1000.000,-898.926,120.605
1668620272.210,-756.348,-1000.000,-927.246,-1000.000
1668620272.214,878.906,456.055,-197.266,-531.250
1668620272.218,667.480,788.086,363.281,-938.965
