Filename,Concordant - Score,Concordant - Num of Errors,Concordant - Missed,Discordant - Score,Discordant - Num of Errors,Discordant - Missed
yellow_shark,567.793665,0.5,0,663.7122024,2,0
Blue-Dolphin,594.9686603,0.5,0,683.1209528,2,0
Pink-Lion,582.7555173,1,0.5,725.0020565,0.5,1.5
Purple-Bear,742.308027,1.5,1,821.331907,1,2
orange-crocodile,488.8935704,0,1,664.6470647,1,0.5
pink-flamingo,426.6656542,0.5,1,459.5556132,0,1.5
gold-dog,739.5101306,0.5,0.5,602.4973202,1,1.5
red-fish,510.8689699,1,2,540.3683627,0.5,2
black-goose,535.4264809,3,2,671.2200662,2,2.5
green-frog,536.8183094,0.5,0,570.2545466,1,0
navy-giraffe,542.3330237,0.5,0,598.5381172,1,0.5
red-moose,615.80517,0,0,645.7531679,1.5,1
blue-lion,430.4333634,0.5,1,496.1207616,0.5,0
blue-dog,607.0374358,1,0.5,641.1681169,1,2.5
blue-jay,744.92975,1,0,772.7442528,3.5,2.5
pink-sealion,599.2169538,1.5,0,662.0632932,0,0.5
,,,,,,
,,,,,,
0.003708186,,,,,,
