type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
concordant,none,,-1,yellow,yellow,1626454108.9488666
concordant,left,,0.7524742999958107,red,red,1626454110.9684334
concordant,up,,0.6728306000004523,green,green,1626454112.988389
concordant,right,,0.860149599990109,red,red,1626454115.001056
concordant,up,,0.7271158000075957,yellow,yellow,1626454117.0132706
concordant,none,,-1,green,green,1626454119.026601
concordant,none,,-1,yellow,yellow,1626454121.0382679
concordant,none,,-1,green,green,1626454123.0559034
concordant,up,,0.9162120999972103,yellow,yellow,1626454125.0669887
concordant,right,,0.3209558999951696,red,red,1626454127.080988
concordant,up,,1.1516453999938676,yellow,yellow,1626454129.0955355
concordant,right,,0.5363246000051731,red,red,1626454131.1078327
concordant,left,,0.5678844000067329,green,green,1626454133.1178632
concordant,up,,0.6194375000050059,yellow,yellow,1626454135.1301706
concordant,right,,0.45540279999841005,red,red,1626454137.1417158
concordant,up,,1.0311019999935525,yellow,yellow,1626454139.152714
concordant,left,,0.5867043000034755,green,green,1626454141.1647472
concordant,up,,0.4793751999968663,yellow,yellow,1626454143.1784563
concordant,right,,0.3604408999963198,red,red,1626454145.1923087
concordant,left,,0.6736006999999518,green,green,1626454147.2028549
concordant,up,,0.4659118999989005,yellow,yellow,1626454149.2140718
concordant,left,,1.0203265000018291,green,green,1626454151.225548
concordant,up,,0.4727218000043649,yellow,yellow,1626454153.2389266
concordant,left,,0.7962436000088928,green,green,1626454155.2507455
concordant,right,,0.5441090000094846,red,red,1626454157.263081
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
discordant,none,,-1,red,green,1626454241.9758437
discordant,down,,1.4304050000064308,yellow,red,1626454243.9894042
discordant,none,,-1,red,yellow,1626454246.0089843
discordant,left,,0.8236056000023382,yellow,green,1626454248.0209477
discordant,left,,0.7981761999981245,green,red,1626454250.0309453
discordant,down,,0.9331855999917025,yellow,green,1626454252.044477
discordant,none,,-1,green,yellow,1626454254.0608685
discordant,none,,-1,red,green,1626454256.0726154
discordant,left,,0.9591464999975869,green,red,1626454258.0840938
discordant,right,,0.5770123999973293,yellow,green,1626454260.0952978
discordant,down,,0.5828206000005594,green,yellow,1626454262.10766
discordant,none,,-1,yellow,green,1626454264.1213877
discordant,none,,-1,red,yellow,1626454266.1324577
discordant,none,,-1,green,red,1626454268.1446114
discordant,down,,1.24564759999339,red,yellow,1626454270.1651046
discordant,right,,0.505634100001771,yellow,red,1626454272.1781046
discordant,left,,1.4953689999965718,green,yellow,1626454274.1907418
discordant,none,,-1,red,green,1626454276.2057397
discordant,right,,0.1573835000017425,green,yellow,1626454278.21974
discordant,none,,-1,yellow,red,1626454280.233688
discordant,left,,1.2923026000062237,green,yellow,1626454282.2437377
