type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
concordant,left,,1.2904953000252135,green,green,1626888139.0511856
concordant,down,,1.1638791000004858,yellow,yellow,1626888141.0857644
concordant,left,,0.9648025999777019,green,green,1626888143.100272
concordant,down,,0.6459402999607846,yellow,yellow,1626888145.1152663
concordant,right,,0.7193597999867052,red,red,1626888147.1310751
concordant,left,,0.7329276999807917,green,green,1626888149.141354
concordant,down,,0.5437536000390537,yellow,yellow,1626888151.1569116
concordant,left,,1.1653517000377178,green,green,1626888153.1699433
concordant,right,,0.7677347999997437,red,red,1626888155.1837516
concordant,down,,0.922211299999617,yellow,yellow,1626888157.1949966
concordant,left,,0.8843562999973074,green,green,1626888159.2069435
concordant,down,,0.940888199955225,yellow,yellow,1626888161.2243202
concordant,right,,0.5534486999968067,red,red,1626888163.2378817
concordant,left,,0.5856111000175588,green,green,1626888165.2499015
concordant,right,,0.4734176999772899,red,red,1626888167.263245
concordant,left,,0.5910409000352956,green,green,1626888169.2781758
concordant,right,,0.4955989999580197,red,red,1626888171.2912648
concordant,left,,0.7729179000016302,green,green,1626888173.3015642
concordant,right,,0.42094270000234246,red,red,1626888175.315805
concordant,down,,0.8240834000171162,yellow,yellow,1626888177.3276045
concordant,right,,0.6416012000408955,red,red,1626888179.3397102
concordant,none,,-1.0,yellow,yellow,1626888181.3517814
concordant,left,,0.7564769000164233,red,red,1626888183.363535
concordant,left,,0.5345456000068225,green,green,1626888185.3790574
concordant,right,,1.1289436999941245,red,red,1626888187.3953116
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
discordant,none,,-1,yellow,green,1626888272.1444566
discordant,left,,1.173405300010927,green,red,1626888274.161022
discordant,down,,0.5434228999656625,yellow,green,1626888276.1748998
discordant,left,,0.5952555000549182,green,yellow,1626888278.2077394
discordant,down,,0.5805160999880172,yellow,green,1626888280.2217336
discordant,left,,0.47911940002813935,green,red,1626888282.2347991
discordant,down,,0.6346033999579959,yellow,green,1626888284.2504475
discordant,left,,0.34690790000604466,green,red,1626888286.2623758
discordant,down,,0.6784447999671102,yellow,green,1626888288.2735956
discordant,right,,0.5237174999783747,red,yellow,1626888290.2860644
discordant,down,,0.6170093999826349,yellow,green,1626888292.2977414
discordant,right,,0.46335189999081194,red,yellow,1626888294.3089695
discordant,left,,0.6158314000349492,green,red,1626888296.3249717
discordant,right,,0.7248747000121512,red,green,1626888298.3381186
discordant,left,,0.573943399998825,green,red,1626888300.349963
discordant,down,,0.5807038999628276,yellow,green,1626888302.3628418
discordant,left,,0.6828880999819376,green,yellow,1626888304.3803878
discordant,right,,0.4371468999888748,red,green,1626888306.3911502
discordant,left,,1.0283701000153087,green,red,1626888308.4035625
discordant,right,,0.724466499988921,red,yellow,1626888310.4147718
discordant,left,,0.5635194000205956,green,red,1626888312.432447
discordant,down,,0.5345822000526823,yellow,green,1626888314.4469967
discordant,right,,0.5478004000033252,red,yellow,1626888316.4590418
discordant,none,,-1,green,red,1626888318.47128
discordant,right,,0.5714702000259422,red,green,1626888320.4897292
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
concordant,none,,-1,red,red,1626888400.0992634
concordant,left,,0.7546424999600276,green,green,1626888402.113565
concordant,down,,0.4016690999851562,yellow,yellow,1626888404.125955
concordant,right,,0.6250498000299558,red,red,1626888406.1421545
concordant,none,,-1,green,green,1626888408.1541212
concordant,left,,0.035138299979735166,yellow,yellow,1626888410.1705728
concordant,right,,0.5905097000068054,red,red,1626888412.1849368
concordant,down,,0.7914269999600947,yellow,yellow,1626888414.1963863
concordant,left,,0.7506681999657303,green,green,1626888416.212736
concordant,down,,0.7565482000354677,yellow,yellow,1626888418.228059
concordant,right,,0.4094870000262745,red,red,1626888420.2477708
