type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
concordant,down,,0.9746329999761656,yellow,yellow,1627053984.5367525
concordant,right,,0.5436043000081554,red,red,1627053986.5557616
concordant,down,,0.6692107999697328,yellow,yellow,1627053988.566971
concordant,right,,0.38478439999744296,red,red,1627053990.5785906
concordant,left,,0.5643683999078348,green,green,1627053992.599879
concordant,right,,0.5333335000323132,red,red,1627053994.6095755
concordant,down,,0.6556338999653235,yellow,yellow,1627053996.6224203
concordant,right,,0.577826299937442,red,red,1627053998.6342626
concordant,down,,0.5698058999842033,yellow,yellow,1627054000.6479802
concordant,right,,0.4844235999044031,red,red,1627054002.659601
concordant,left,,0.5558175999904051,green,green,1627054004.6733866
concordant,down,,0.634449000004679,yellow,yellow,1627054006.68459
concordant,left,,0.5797266999725252,green,green,1627054008.697143
concordant,right,,0.4431972000747919,red,red,1627054010.7088847
concordant,left,,0.5136905000545084,green,green,1627054012.722428
concordant,right,,0.420725499978289,red,red,1627054014.7327342
concordant,down,,0.6069711999734864,yellow,yellow,1627054016.744609
concordant,left,,0.46798249997664243,green,green,1627054018.7577674
concordant,down,,0.4685200999956578,yellow,yellow,1627054020.7693765
concordant,right,,0.3457056999905035,red,red,1627054022.7814245
concordant,down,,0.6188145999331027,yellow,yellow,1627054024.79256
concordant,left,,0.44393219996709377,green,green,1627054026.8046308
concordant,down,,0.5280669999774545,yellow,yellow,1627054028.8182924
concordant,right,,0.41889950004406273,red,red,1627054030.8296077
concordant,down,,0.44721790007315576,yellow,yellow,1627054032.8414738
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
discordant,right,,1.2537374999374151,green,red,1627054117.5765505
discordant,down,,0.9517736000707373,yellow,green,1627054119.5948343
discordant,left,,0.750769899925217,green,red,1627054121.6061778
discordant,down,,0.46594819996971637,yellow,green,1627054123.618694
discordant,left,,0.5306199999758974,green,yellow,1627054125.6482391
discordant,right,,0.49617449997458607,red,green,1627054127.6602101
discordant,left,,0.625372999929823,green,red,1627054129.6752617
discordant,down,,0.4590998000930995,yellow,green,1627054131.6873477
discordant,left,,1.096959099988453,red,yellow,1627054133.6995625
discordant,left,,0.759626799961552,green,red,1627054135.7110517
discordant,down,,0.5760449999943376,yellow,green,1627054137.7221901
discordant,right,,0.4726384000387043,red,yellow,1627054139.7359552
discordant,down,,0.7821790999732912,yellow,red,1627054141.7518141
discordant,left,,0.3787250999594107,green,yellow,1627054143.764793
discordant,right,,0.5152057000668719,red,green,1627054145.7764552
discordant,down,,0.3496419999282807,yellow,red,1627054147.7904346
discordant,left,,0.3221068999264389,green,yellow,1627054149.8068273
discordant,right,,0.48450600006617606,red,green,1627054151.8217676
discordant,down,,0.7179496000753716,yellow,red,1627054153.8339663
discordant,left,,0.5934877000981942,green,yellow,1627054155.845348
discordant,right,,0.3471684999531135,red,green,1627054157.8620558
discordant,left,,0.4625907000154257,green,yellow,1627054159.8762603
discordant,down,,0.568901399965398,yellow,green,1627054161.8885314
discordant,left,,0.6742510000476614,green,red,1627054163.8986104
