type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
concordant,none,,-1,yellow,yellow,1627405275.0246487
concordant,right,,0.9123397000366822,red,red,1627405277.0468364
concordant,left,,0.6751820000354201,green,green,1627405279.068801
concordant,down,,1.1292743000667542,yellow,yellow,1627405281.0859435
concordant,right,,0.9443578999489546,red,red,1627405283.0988588
concordant,left,,0.9906616000225767,green,green,1627405285.1109931
concordant,right,,0.8177402999717742,red,red,1627405287.125614
concordant,down,,1.1332522000884637,yellow,yellow,1627405289.1391265
concordant,right,,0.7047091999556869,red,red,1627405291.153694
concordant,left,,0.6607436999911442,green,green,1627405293.167686
concordant,down,,0.8166500999359414,yellow,yellow,1627405295.1826763
concordant,right,,0.6508591999299824,red,red,1627405297.1976204
concordant,left,,1.0405052000423893,green,green,1627405299.2103348
concordant,down,,0.6168184999842197,yellow,yellow,1627405301.2233334
concordant,left,,0.6184522000839934,green,green,1627405303.2342007
concordant,down,,0.9928863999666646,red,red,1627405305.2480292
concordant,down,,1.4090028000064194,yellow,yellow,1627405307.260946
concordant,right,,0.8713111999677494,red,red,1627405309.2738364
concordant,down,,1.1097633999306709,yellow,yellow,1627405311.2883642
concordant,left,,1.4462132999906316,green,green,1627405313.300821
concordant,right,,0.7401205999776721,red,red,1627405315.3123782
concordant,left,,0.9703632000600919,green,green,1627405317.3254583
concordant,down,,1.277648500050418,red,red,1627405319.336475
concordant,down,,0.9399259999627247,yellow,yellow,1627405321.3495686
concordant,left,,0.6956784999929368,green,green,1627405323.362808
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
discordant,left,,1.0865305999759585,yellow,green,1627405410.0355656
discordant,down,,0.9361667999764904,green,yellow,1627405412.0635586
discordant,none,,-1.0,yellow,red,1627405414.0915606
discordant,right,,0.8652553999563679,red,yellow,1627405416.1115584
discordant,left,,1.1405306999804452,yellow,green,1627405418.1325586
discordant,right,,0.6734720000531524,red,yellow,1627405420.1465638
discordant,down,,1.4600360000040382,yellow,green,1627405422.1675596
discordant,left,,1.3223809999180958,green,yellow,1627405424.18356
discordant,down,,0.8240649000508711,yellow,green,1627405426.2045598
discordant,right,,0.7908808999927714,red,yellow,1627405428.2185638
discordant,left,,1.2857810000423342,green,red,1627405430.2305589
discordant,none,,-1.0,red,yellow,1627405432.2475615
discordant,right,,0.19394510006532073,green,red,1627405434.262593
discordant,down,,0.9113784999353811,yellow,green,1627405436.2798755
discordant,left,,0.6408388999989256,green,red,1627405438.2958772
discordant,right,,0.7593889000127092,red,yellow,1627405440.308864
discordant,left,,1.0741829000180587,yellow,green,1627405442.3206718
discordant,none,,-1.0,red,yellow,1627405444.3351371
discordant,down,,1.0860194999258965,yellow,red,1627405446.349361
discordant,left,,0.6382441999157891,green,yellow,1627405448.364929
discordant,right,,1.4580633000005037,red,green,1627405450.3771892
discordant,down,,0.5398676000768319,yellow,red,1627405452.3897858
discordant,right,,0.8239850999088958,red,yellow,1627405454.4028792
discordant,down,,0.7984799999976531,yellow,green,1627405456.4175735
discordant,left,,0.7224587999517098,green,red,1627405458.4285316
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
concordant,left,,0.8865761000197381,green,green,1627405539.9607673
concordant,down,,0.710155599983409,yellow,yellow,1627405541.9735084
concordant,right,,0.5419410000322387,red,red,1627405543.991874
concordant,down,,0.7568443999625742,yellow,yellow,1627405546.002716
concordant,left,,0.594487400026992,green,green,1627405548.0184302
concordant,down,,0.6451753999572247,yellow,yellow,1627405550.0328088
concordant,left,,0.7970039999345317,green,green,1627405552.0450704
concordant,down,,0.6604364999802783,yellow,yellow,1627405554.0583556
concordant,left,,0.7094433999154717,green,green,1627405556.07081
concordant,down,,0.5438802000135183,yellow,yellow,1627405558.0820515
concordant,right,,0.5110650999704376,red,red,1627405560.092875
concordant,left,,0.7615247999783605,green,green,1627405562.1053755
concordant,down,,0.5321856999071315,yellow,yellow,1627405564.1165197
concordant,left,,0.6123118000105023,green,green,1627405566.12769
concordant,right,,0.6999943999107927,red,red,1627405568.1421692
concordant,down,,0.4904790000291541,yellow,yellow,1627405570.1563566
concordant,left,,0.7230534999398515,green,green,1627405572.1687024
concordant,down,,0.8083000000333413,yellow,yellow,1627405574.182009
concordant,right,,0.496184500050731,red,red,1627405576.19345
concordant,down,,0.7262071999721229,yellow,yellow,1627405578.2073598
concordant,left,,0.4879487999714911,green,green,1627405580.21943
concordant,down,,0.442232400062494,yellow,yellow,1627405582.2324276
concordant,right,,0.4647517000557855,red,red,1627405584.2446337
concordant,left,,0.5243877000175416,green,green,1627405586.2581992
concordant,down,,0.5511109000071883,yellow,yellow,1627405588.2707763
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
discordant,none,,-1,yellow,red,1627405669.7872717
discordant,left,,0.742490699980408,green,yellow,1627405671.802311
discordant,down,,1.30775439995341,yellow,green,1627405673.8188746
discordant,left,,0.7195095999632031,green,red,1627405675.8327465
discordant,down,,0.6668850000714883,yellow,green,1627405677.8445942
discordant,right,,0.6650721000041813,red,yellow,1627405679.8569357
discordant,down,,1.1975772000150755,yellow,red,1627405681.8719137
discordant,left,,1.069600300048478,green,yellow,1627405683.8837893
discordant,right,,0.7809110000962391,red,green,1627405685.8997371
discordant,down,,0.9411323999520391,yellow,red,1627405687.9118645
discordant,left,,0.6252453000051901,green,yellow,1627405689.9314945
discordant,down,,0.9434835000429302,yellow,green,1627405691.944493
discordant,left,,0.7604579000035301,green,yellow,1627405693.9566052
discordant,right,,0.6511683999560773,red,green,1627405695.9679632
discordant,down,,0.6016821000957862,yellow,red,1627405697.9819617
discordant,left,,0.4700774000957608,red,green,1627405699.9948857
discordant,right,,1.2971271999413148,green,red,1627405702.0088284
discordant,down,,1.0224213999463245,yellow,green,1627405704.02118
discordant,left,,1.3263295999495313,green,yellow,1627405706.0353622
discordant,right,,0.7978669999865815,red,green,1627405708.0480223
discordant,left,,0.8538814000785351,green,yellow,1627405710.0606194
discordant,right,,1.1919734999537468,red,green,1627405712.0736644
discordant,left,,1.284357399912551,green,red,1627405714.0870526
