Filename,First Session: Concordant - Score,First Session: Concordant - Num of Errors,First Session: Concordant - Missed,First Session: Discordant - Score,First Session: Discordant - Num of Errors,First Session: Discordant - Missed,Second Session: Concordant - Score,Second Session: Concordant - Num of Errors,Second Session: Concordant - Missed,Second Session: Discordant - Score,Second Session: Discordant - Num of Errors,Second Session: Discordant - Missed
yellow_shark,538.3360199996969,0,0,644.4603080005618,2,0,585.54049999977,1,0,631.909311999334,2,0
Blue-Dolphin,604.2822559998604,0,0,654.3110039993189,2,0,574.1716319986153,1,0,659.3831360019976,2,0
Pink-Lion,648.57888400089,2,0,816.2444083336595,1,1,501.4184999993934,0,1,663.7392304344204,0,2
Purple-Bear,696.5001956711563,3,2,888.8861818334342,2,3,779.7578560048714,0,0,798.8378166677043,0,1
red-fish,673.4041875000306,1,1,462.91797916637734,0,1,367.64646363603373,1,3,660.1930136437824,1,3
black-goose,546.7056479956955,3,0,652.759665233569,3,2,513.1004333407396,3,4,717.4319772695361,1,3
green-frog,538.053651987575,0,0,606.8183319969103,2,0,525.0813399814069,1,0,509.41802798304707,0,0
navy-giraffe,589.5595039892942,0,0,592.2678599925712,2,0,485.39857199415565,1,0,593.4616625066459,0,1
red-moose,616.2468439992517,0,0,679.9042708589695,3,1,615.3634960018098,0,0,599.0416541608283,0,1
blue-lion,389.35679129486823,0,2,534.4543600082397,1,0,478.75504799652845,1,0,447.09807600826025,0,0
blue-dog,525.9374250066079,2,1,527.0299173982652,0,2,678.8809480099007,0,0,803.7954636383802,2,3
blue-jay,846.5783999999985,2,0,707.5931045322002,5,3,609.4179639872164,0,0,828.4797347859358,2,2
pink-sealion,566.2994879903272,2,0,753.1401208446672,0,1,597.5318039907143,1,0,586.6517799999565,0,0
