Filename,First Session: Concordant - Score,First Session: Concordant - Num of Errors,First Session: Concordant - Missed,First Session: Discordant - Score,First Session: Discordant - Num of Errors,First Session: Discordant - Missed,Second Session: Concordant - Score,Second Session: Concordant - Num of Errors,Second Session: Concordant - Missed,Second Session: Discordant - Score,Second Session: Discordant - Num of Errors,Second Session: Discordant - Missed
yellow_shark,538.33602,0,0,670.2387203,2,0,597.25131,1,0,657.1856845,2,0
Blue-Dolphin,604.282256,0,0,680.4834442,2,0,585.6550646,1,0,685.7584614,2,0
Pink-Lion,674.5220394,2,0,832.7341944,1,1,501.4185,0,1,663.7392304,0,2
Purple-Bear,739.1430648,3,2,925.5412821,2,3,779.757856,0,0,798.8378167,0,1
orange-crocodile,579.2807458,0,1,695.1816977,1,0,419.2763833,0,1,647.9595191,1,1
pink-flamingo,460.038936,0,0,492.890908,0,0,411.5245563,1,2,456.9257273,0,3
gold-dog,801.9273374,1,0,704.132832,2,0,691.4756167,0,1,536.9444773,0,3
red-fish,687.0083125,1,1,462.9179792,0,1,375.2268031,1,3,673.8052407,1,3
black-goose,579.5079869,3,0,692.7245427,3,2,545.1692104,3,4,732.2243892,1,3
green-frog,538.053652,0,0,631.0910653,2,0,535.5829668,1,0,509.418028,0,0
navy-giraffe,589.559504,0,0,615.9585744,2,0,495.1065434,1,0,593.4616625,0,1
red-moose,616.246844,0,0,721.1105903,3,1,615.363496,0,0,599.0416542,0,1
blue-lion,389.3567913,0,2,545.1434472,1,0,488.330149,1,0,447.098076,0,0
blue-dog,547.187422,2,1,527.0299174,0,2,678.880948,0,0,836.9416683,2,3
blue-jay,880.441536,2,0,780.5408473,5,3,609.417964,0,0,862.2952342,2,2
pink-sealion,588.9514675,2,0,753.1401208,0,1,609.4824401,1,0,586.65178,0,0
