Filename,Concordant - Score,Concordant - Num of Errors,Concordant - Missed,Discordant - Score,Discordant - Num of Errors,Discordant - Missed
yellow_shark,567.7936649997312,0.5,0.0,663.7122023999458,2.0,0.0
Blue-Dolphin,594.968660319224,0.5,0.0,683.1209528006846,2.0,0.0
Pink-Lion,582.7555172801658,1.0,0.5,725.0020564799895,0.5,1.5
Purple-Bear,742.3080270120408,1.5,1.0,821.3319070478901,1.0,2.0
orange-crocodile,488.89357043998314,0.0,1.0,664.6470646787435,1.0,0.5
pink-flamingo,426.66565419957044,0.5,1.0,459.55561320334675,0.0,1.5
gold-dog,739.5101306268946,0.5,0.5,602.4973202211783,1.0,1.5
red-fish,510.8689699198585,1.0,2.0,540.3683626833838,0.5,2.0
black-goose,535.4264809212648,3.0,2.0,671.2200662066695,2.0,2.5
green-frog,536.818309384305,0.5,0.0,570.2545466299168,1.0,0.0
navy-giraffe,542.3330237116664,0.5,0.0,598.5381171593908,1.0,0.5
red-moose,615.8051700005308,0.0,0.0,645.7531678904313,1.5,1.0
blue-lion,430.43336343369447,0.5,1.0,496.1207616083324,0.5,0.0
blue-dog,607.0374358483125,1.0,0.5,641.1681168843061,1.0,2.5
blue-jay,744.9297499936074,1.0,0.0,772.7442527948879,3.5,2.5
pink-sealion,599.2169537902344,1.5,0.0,662.0632931655273,0.0,0.5
