Filename,First Session: Concordant - Score,First Session: Concordant - Num of Errors,First Session: Concordant - Missed,First Session: Discordant - Score,First Session: Discordant - Num of Errors,First Session: Discordant - Missed,Second Session: Concordant - Score,Second Session: Concordant - Num of Errors,Second Session: Concordant - Missed,Second Session: Discordant - Score,Second Session: Discordant - Num of Errors,Second Session: Discordant - Missed,,,
yellow_shark,538.33602,0,0,670.2387203,2,0,597.25131,1,0,657.1856845,2,0,,567.793665,663.7122024
Blue-Dolphin,604.282256,0,0,680.4834442,2,0,585.6550646,1,0,685.7584614,2,0,,594.9686603,683.1209528
Pink-Lion,674.5220394,2,0,814.9384173,1,1,490.9889952,0,1,635.0656957,0,2,,582.7555173,725.0020565
Purple-Bear,704.858198,3,2,860.441824,2,3,779.757856,0,0,782.2219901,0,1,,742.308027,821.331907
orange-crocodile,567.2317063,0,1,695.1816977,1,0,410.5554346,0,1,634.1124317,1,1,,488.8935704,664.6470647
pink-flamingo,460.038936,0,0,492.890908,0,0,393.2923724,1,2,426.2203184,0,3,,426.6656542,459.5556132
gold-dog,801.9273374,1,0,704.132832,2,0,677.0929238,0,1,500.8618084,0,3,,739.5101306,602.4973202
red-fish,672.3267408,1,1,453.2892852,0,1,349.411199,1,3,627.4474402,1,3,,510.8689699,540.3683627
black-goose,579.5079869,3,0,660.5927812,3,2,491.344975,3,4,681.8473512,1,3,,535.4264809,671.2200662
green-frog,538.053652,0,0,631.0910653,2,0,535.5829668,1,0,509.418028,0,0,,536.8183094,570.2545466
navy-giraffe,589.559504,0,0,615.9585744,2,0,495.1065434,1,0,581.1176599,0,1,,542.3330237,598.5381172
red-moose,616.246844,0,0,704.924748,3,1,615.363496,0,0,586.5815878,0,1,,615.80517,645.7531679
blue-lion,372.5365779,0,2,545.1434472,1,0,488.330149,1,0,447.098076,0,0,,430.4333634,496.1207616
blue-dog,535.1939237,2,1,504.262225,0,2,678.880948,0,0,778.0740088,2,3,,607.0374358,641.1681169
blue-jay,880.441536,2,0,722.3110411,5,3,609.417964,0,0,823.1774645,2,2,,744.92975,772.7442528
pink-sealion,588.9514675,2,0,737.4748063,0,1,609.4824401,1,0,586.65178,0,0,,599.2169538,662.0632932
,597.25131,,,657.1856845,,,,,,,,,,,
,585.6550646,,,685.7584614,,,,,,,,,0.003708186,,
,490.9889952,,,635.0656957,,,,,,,,,,,
,779.757856,,,782.2219901,,,,,,,,,,,
,410.5554346,,,634.1124317,,,,,,,,,,,
,393.2923724,,,426.2203184,,,,,,,,,,,
,677.0929238,,,500.8618084,,,,,,,,,,,
,349.411199,,,627.4474402,,,,,,,,,,,
,491.344975,,,681.8473512,,,,,,,,,,,
,535.5829668,,,509.418028,,,,,,,,,,,
,495.1065434,,,581.1176599,,,,,,,,,,,
,615.363496,,,586.5815878,,,,,,,,,,,
,488.330149,,,447.098076,,,,,,,,,,,
,678.880948,,,778.0740088,,,,,,,,,,,
,609.417964,,,823.1774645,,,,,,,,,,,
,609.4824401,,,586.65178,,,,,,,,,,,
,0.007358762,,,,,,,,,,,,,,
