timestamps,TP9,AF7,AF8,TP10
1664462251.386,7.324,-22.949,74.219,-0.488
1664462251.390,-35.156,-25.879,61.523,-19.043
1664462251.394,-42.969,-29.785,63.477,-23.438
1664462251.398,-20.508,-30.273,72.266,-13.184
1664462251.402,2.930,-28.809,69.336,-11.719
1664462251.406,-23.926,-31.738,66.406,-29.785
1664462251.410,-44.434,-28.320,68.359,-27.832
1664462251.413,-12.207,-18.555,69.824,-8.789
1664462251.417,29.785,-16.113,64.941,20.508
1664462251.421,0.977,-26.855,70.312,17.578
1664462251.425,-53.223,-37.109,84.961,-12.695
1664462251.429,-53.223,-34.668,90.332,-20.996
1664462251.446,-33.203,-41.016,76.172,-22.461,0
1664462251.450,-40.527,-52.246,70.312,-26.367,0
1664462251.454,-65.918,-49.316,77.637,-23.438,0
1664462251.458,-72.754,-46.875,85.449,-18.066,0
1664462251.462,-58.594,-51.270,88.867,-14.648,0
1664462251.466,-39.551,-52.246,84.473,-2.441,0
1664462251.470,-66.895,-56.641,94.727,-21.484,0
1664462251.473,-73.242,-57.617,97.656,-30.273,0
1664462251.477,-50.293,-56.641,86.426,-20.508,0
1664462251.481,-21.973,-54.199,80.566,-2.930,0
1664462251.485,-35.156,-54.199,88.867,-12.695,0
1664462251.489,-55.664,-58.594,84.961,-26.367,0
1664462251.491,-45.898,-54.199,74.219,-13.672,0
1664462251.495,-17.578,-46.875,76.172,7.324,0
1664462251.499,-31.738,-51.758,78.125,0.000,0
1664462251.503,-58.105,-55.176,77.148,-12.695,0
1664462251.507,-50.293,-46.387,77.637,-12.207,0
1664462251.511,-25.391,-48.340,82.031,-9.277,0
1664462251.515,-18.066,-49.316,81.543,2.441,0
1664462251.518,-42.480,-47.363,78.613,-4.395,0
1664462251.522,-48.340,-48.828,71.777,-3.906,0
1664462251.526,-32.227,-49.805,70.312,4.883,0
1664462251.530,-17.578,-52.246,68.359,-1.953,0
1664462251.534,-27.832,-41.016,77.148,3.418,0
1664462251.556,-37.109,-37.598,85.938,-0.977,0
1664462251.560,-31.738,-44.922,84.961,-6.348,0
1664462251.564,-7.324,-50.293,73.730,-1.465,0
1664462251.568,-20.508,-46.875,63.477,-8.789,0
1664462251.572,-41.504,-40.039,65.430,-13.184,0
1664462251.576,-39.062,-43.457,74.219,-12.695,0
1664462251.580,-9.277,-44.434,77.148,-6.348,0
1664462251.583,-4.395,-39.551,66.895,-7.324,0
1664462251.587,-28.809,-38.086,59.570,3.906,0
1664462251.591,-30.762,-37.598,69.336,5.859,0
1664462251.595,-7.812,-37.598,76.660,-0.977,0
1664462251.599,-3.906,-37.109,81.055,1.465,0
1664462251.580,-31.250,-36.133,92.773,-8.301,0
1664462251.584,-22.949,-31.738,94.727,-8.789,0
1664462251.588,-4.395,-30.762,83.496,1.465,0
1664462251.592,0.488,-37.109,75.684,1.465,0
1664462251.596,-27.344,-41.504,72.266,-8.301,0
1664462251.600,-39.062,-37.109,68.848,-13.184,0
1664462251.604,-27.832,-36.621,69.824,-23.438,0
1664462251.607,0.000,-37.109,72.754,-7.324,0
1664462251.611,-17.578,-37.598,72.754,-0.488,0
1664462251.615,-39.062,-38.086,80.078,-19.531,0
