timestamps,TP9,AF7,AF8,TP10
1664548747.590,-51.270,-7.812,374.512,-55.176
1664548747.594,-61.035,-7.812,357.910,-61.035
1664548747.598,-58.105,-18.066,339.844,-61.035
1664548747.602,-44.922,-29.785,326.660,-59.082
1664548747.606,-38.574,-24.414,336.426,-54.199
1664548747.610,-56.152,-15.625,344.238,-64.453
1664548747.614,-61.035,-17.090,316.406,-64.941
1664548747.617,-51.758,-20.996,259.766,-48.340
1664548747.621,-55.664,-16.113,345.703,-67.871
1664548747.625,-59.570,-18.066,384.766,-86.426
1664548747.629,-67.871,-30.762,312.012,-84.961
1664548747.633,-68.359,-27.344,317.383,-72.266
1664548747.635,-62.012,-19.043,358.398,-68.848,0
1664548747.639,-71.289,-29.785,352.539,-80.078,0
1664548747.643,-83.496,-36.133,311.523,-82.031,0
1664548747.647,-81.055,-27.832,336.914,-76.172,0
1664548747.651,-52.246,-14.160,327.637,-46.875,0
1664548747.655,-47.363,-20.020,321.289,-32.715,0
1664548747.659,-70.801,-41.504,269.531,-47.363,0
1664548747.662,-81.543,-36.133,262.695,-69.336,0
1664548747.666,-70.801,-21.484,402.344,-79.590,0
1664548747.670,-57.129,-26.855,375.000,-71.289,0
1664548747.674,-69.824,-24.414,361.328,-68.359,0
1664548747.678,-77.637,-14.160,384.766,-58.105,0
1664548747.680,-72.266,-20.020,407.715,-57.129,0
1664548747.684,-68.359,-34.668,409.180,-47.852,0
1664548747.688,-73.242,-32.227,409.668,-44.922,0
1664548747.692,-77.148,-22.461,419.434,-51.758,0
1664548747.696,-62.988,-24.414,398.438,-38.086,0
1664548747.700,-59.570,-34.180,399.414,-39.062,0
1664548747.704,-69.824,-35.645,407.715,-41.504,0
1664548747.707,-77.637,-24.414,444.336,-53.223,0
1664548747.711,-66.895,-14.648,482.422,-58.105,0
1664548747.715,-54.199,-20.996,468.750,-49.316,0
1664548747.719,-61.035,-28.809,441.406,-57.617,0
1664548747.723,-79.590,-28.809,442.383,-75.684,0
1664548747.724,-84.473,-27.832,470.215,-75.684,0
1664548747.728,-65.918,-26.855,449.219,-53.223,0
1664548747.732,-67.383,-31.250,440.430,-59.570,0
1664548747.736,-80.566,-26.367,476.562,-65.430,0
1664548747.740,-83.008,-27.344,471.680,-56.152,0
1664548747.744,-71.777,-38.086,388.672,-40.527,0
1664548747.748,-62.012,-35.156,422.852,-31.250,0
1664548747.751,-72.266,-22.949,507.812,-54.199,0
1664548747.755,-70.801,-19.531,479.980,-45.898,0
1664548747.759,-50.781,-20.996,459.961,-21.484,0
1664548747.763,-59.082,-24.414,471.680,-40.527,0
1664548747.767,-70.801,-32.227,477.051,-54.688,0
1664548747.785,-75.195,-28.809,482.422,-47.363,0
1664548747.789,-77.148,-23.438,507.812,-44.922,0
1664548747.793,-59.570,-24.414,503.418,-44.922,0
1664548747.797,-44.434,-19.043,510.742,-45.898,0
1664548747.801,-40.039,-16.602,502.930,-34.180,0
1664548747.805,-46.875,-16.602,490.234,-30.273,0
1664548747.809,-64.941,-25.391,530.273,-50.781,0
1664548747.812,-74.219,-28.320,543.457,-55.664,0
1664548747.816,-78.613,-30.273,521.484,-51.270,0
1664548747.820,-93.750,-39.062,526.855,-59.082,0
1664548747.824,-96.680,-31.250,556.641,-61.523,0
1664548747.828,-83.008,-29.297,569.336,-73.730,0
1664548747.830,-88.867,-34.180,537.109,-88.379,0
1664548747.834,-100.586,-33.203,505.859,-92.773,0
1664548747.838,-97.168,-23.926,539.062,-91.797,0
1664548747.842,-80.566,-18.066,542.969,-87.402,0
1664548747.846,-69.824,-23.438,494.141,-74.707,0
1664548747.850,-81.543,-25.879,474.121,-69.336,0
1664548747.854,-94.727,-24.902,502.441,-70.312,0
1664548747.857,-83.984,-26.855,522.949,-69.336,0
1664548747.861,-57.129,-31.250,446.777,-42.480,0
1664548747.865,-66.406,-24.414,468.750,-40.039,0
1664548747.869,-87.891,-18.555,537.109,-73.730,0
1664548747.873,-73.242,-27.832,499.023,-66.406,0
1664548747.875,-59.570,-31.738,505.371,-51.758,0
1664548747.879,-69.824,-28.320,527.832,-58.594,0
1664548747.883,-78.125,-27.344,522.949,-63.477,0
1664548747.887,-68.848,-30.273,492.188,-62.012,0
