timestamps,TP9,AF7,AF8,TP10
1664549461.152,-64.941,-28.320,-29.785,-43.457
1664549461.156,-44.434,-30.273,-14.648,-34.668
1664549461.160,-22.949,-27.832,-8.301,-24.414
1664549461.164,-42.969,-26.367,-9.766,-40.039
1664549461.168,-68.848,-24.902,-16.602,-47.852
1664549461.172,-54.688,-25.879,-36.133,-29.297
1664549461.176,-26.367,-27.344,-33.691,0.977
1664549461.179,-39.062,-26.367,-13.672,-17.578
1664549461.183,-64.941,-30.273,-20.020,-57.129
1664549461.187,-55.176,-28.809,-24.902,-40.527
1664549461.191,-34.668,-26.855,-34.180,2.441
1664549461.195,-33.691,-32.227,-41.992,-0.977
1664549461.211,-55.176,-32.715,-34.668,-37.109,0
1664549461.215,-67.383,-27.832,-22.949,-40.039,0
1664549461.219,-46.387,-23.926,-19.531,-17.578,0
1664549461.223,-27.344,-23.926,-22.461,-5.859,0
1664549461.227,-31.738,-24.902,-24.414,-21.484,0
1664549461.231,-39.551,-21.973,-22.949,-21.973,0
1664549461.235,-31.250,-21.973,-31.738,-8.789,0
1664549461.238,-16.113,-27.832,-42.969,-3.418,0
1664549461.242,-28.809,-25.879,-42.969,-10.742,0
1664549461.246,-47.363,-25.879,-31.250,-27.832,0
1664549461.250,-48.340,-26.855,-10.742,-30.762,0
1664549461.254,-35.645,-24.902,-1.465,-21.484,0
1664549461.257,-27.832,-23.438,-16.113,-21.973,0
1664549461.261,-45.898,-23.926,-28.320,-40.527,0
1664549461.265,-51.270,-26.367,-10.254,-51.758,0
1664549461.269,-25.391,-20.996,-14.160,-25.879,0
1664549461.273,-15.137,-11.719,-26.367,-2.930,0
1664549461.277,-39.551,-13.184,-7.812,-13.672,0
1664549461.281,-66.406,-21.973,2.930,-45.410,0
1664549461.284,-56.641,-22.461,-9.277,-50.781,0
1664549461.288,-30.762,-20.996,-20.996,-19.531,0
1664549461.292,-42.969,-23.438,-30.273,-17.090,0
1664549461.296,-65.918,-21.484,-27.832,-33.691,0
1664549461.300,-50.781,-17.578,-14.648,-19.043,0
1664549461.302,-28.809,-21.484,-10.254,-15.137,0
1664549461.306,-36.133,-24.414,-28.320,-23.438,0
1664549461.310,-55.176,-22.461,-19.043,-45.410,0
1664549461.314,-58.594,-24.902,-15.137,-38.574,0
1664549461.318,-41.992,-17.578,-34.668,1.465,0
1664549461.322,-28.320,-12.695,-24.414,-1.953,0
1664549461.326,-53.711,-21.484,-12.695,-30.762,0
1664549461.329,-68.848,-29.785,-25.391,-44.922,0
1664549461.333,-43.945,-35.156,-38.574,-16.113,0
1664549461.337,-31.250,-33.691,-35.645,2.441,0
1664549461.341,-44.922,-24.414,-25.879,-20.020,0
1664549461.345,-51.270,-20.508,-22.949,-30.762,0
1664549461.347,-35.156,-22.461,-16.602,-28.809,0
1664549461.351,-9.277,-26.367,-37.598,-10.742,0
1664549461.355,-20.508,-29.297,-54.688,-19.531,0
1664549461.359,-51.758,-27.832,-39.062,-40.527,0
1664549461.363,-44.434,-27.832,-32.227,-28.809,0
1664549461.367,-21.484,-29.297,-26.367,-7.812,0
1664549461.371,-32.715,-32.715,-17.090,-24.902,0
1664549461.374,-51.758,-31.250,-17.578,-38.574,0
1664549461.378,-54.688,-24.414,-34.668,-29.297,0
1664549461.382,-41.016,-27.832,-40.527,-23.438,0
1664549461.386,-27.344,-32.715,-33.691,-13.184,0
1664549461.390,-52.246,-33.691,-26.855,-38.086,0
1664549461.392,-61.523,-34.668,-29.785,-64.453,0
1664549461.396,-36.133,-31.738,-50.781,-40.527,0
1664549461.400,-20.508,-27.344,-57.129,-16.602,0
1664549461.404,-42.969,-31.738,-42.969,-28.320,0
1664549461.408,-65.918,-23.926,-29.785,-40.039,0
1664549461.412,-44.922,-18.066,-25.391,-23.926,0
1664549461.416,-31.250,-29.785,-26.367,-9.277,0
1664549461.419,-41.992,-35.156,-23.926,0.488,0
1664549461.423,-62.012,-34.180,-27.832,-17.090,0
1664549461.427,-58.594,-25.879,-31.250,-30.762,0
1664549461.431,-32.227,-20.508,-19.531,-4.395,0
1664549461.435,-30.762,-24.414,-18.555,-18.555,0
1664549461.437,-46.875,-21.484,-31.250,-46.875,0
1664549461.441,-55.176,-19.043,-38.086,-41.504,0
1664549461.445,-36.133,-28.320,-39.062,-14.160,0
1664549461.449,-20.020,-33.691,-28.320,-11.719,0
1664549461.453,-34.668,-27.344,-19.531,-37.109,0
1664549461.457,-44.434,-23.438,-14.648,-48.828,0
1664549461.461,-35.156,-26.367,-11.719,-28.320,0
1664549461.464,-21.484,-25.391,-22.461,6.836,0
1664549461.468,-41.992,-29.297,-29.297,-17.090,0
1664549461.472,-61.035,-33.691,-26.367,-41.016,0
1664549461.476,-45.410,-31.738,-28.809,-20.508,0
1664549461.480,-22.949,-23.438,-42.480,7.324,0
1664549461.482,-27.832,-23.438,-33.691,-3.906,0
1664549461.486,-56.152,-28.809,-12.695,-49.805,0
1664549461.490,-50.293,-22.949,-1.465,-50.781,0
1664549461.494,-31.738,-21.973,-13.184,-22.949,0
1664549461.498,-29.297,-31.250,-38.086,-20.508,0
1664549461.502,-43.945,-35.156,-31.738,-41.992,0
1664549461.506,-60.547,-35.156,-22.949,-26.367,0
1664549461.509,-52.734,-26.855,-20.996,3.418,0
1664549461.513,-46.875,-20.020,-20.020,-17.578,0
1664549461.517,-57.617,-22.949,-33.203,-32.715,0
1664549461.521,-62.988,-21.484,-55.664,-23.926,0
1664549461.525,-42.969,-17.578,-47.852,-13.672,0
1664549461.527,-25.879,-21.973,-20.508,0.488,0
1664549461.531,-40.039,-27.344,-12.207,-15.625,0
1664549461.535,-62.012,-25.391,-15.625,-48.828,0
1664549461.539,-55.664,-26.367,-32.227,-39.551,0
1664549461.543,-33.691,-32.227,-31.250,-16.113,0
1664549461.547,-36.621,-29.785,-26.367,-19.043,0
1664549461.551,-55.664,-23.438,-22.461,-27.832,0
1664549461.554,-50.781,-21.484,-20.996,-30.273,0
1664549461.558,-19.043,-18.066,-47.363,-7.812,0
1664549461.562,-15.625,-20.020,-33.203,9.277,0
1664549461.566,-47.852,-24.414,4.395,-14.160,0
1664549461.570,-56.641,-22.461,-0.488,-33.691,0
1664549461.587,-35.645,-19.043,-16.113,-15.625,0
1664549461.591,-20.020,-19.043,-20.508,1.953,0
1664549461.595,-35.645,-21.973,-20.508,-23.438,0
1664549461.599,-58.105,-20.996,-21.973,-45.898,0
