timestamps,TP9,AF7,AF8,TP10,marker
1664560763.848,-105.469,-11.719,-42.969,-73.242,0
1664560763.852,25.391,-15.137,-40.039,1.953,0
1664560763.856,70.312,-15.625,-37.598,34.180,0
1664560763.860,-58.594,-15.625,-38.574,-42.480,0
1664560763.864,-120.117,-20.508,-36.621,-86.426,0
1664560763.868,-8.789,-22.949,-33.691,-14.160,0
1664560763.872,84.961,-22.949,-34.668,47.363,0
1664560763.875,-27.832,-28.320,-46.387,-25.391,0
1664560763.879,-126.953,-27.832,-48.828,-89.355,0
1664560763.883,-48.340,-26.367,-40.039,-38.086,0
1664560763.887,69.824,-31.738,-41.504,32.227,0
1664560763.891,12.695,-32.227,-44.434,-2.930,0
1664560763.893,-102.051,-26.855,-40.527,-62.988,0
1664560763.897,-79.590,-26.855,-34.180,-44.922,0
1664560763.901,46.387,-33.203,-41.016,21.973,0
1664560763.905,43.945,-36.621,-40.039,19.043,0
1664560763.909,-80.078,-31.250,-25.879,-50.293,0
1664560763.913,-102.051,-18.555,-19.531,-53.711,0
1664560763.917,20.020,-19.531,-24.902,13.672,0
1664560763.920,58.594,-31.738,-34.180,23.926,0
1664560763.924,-71.289,-36.133,-29.785,-48.340,0
1664560763.928,-149.902,-41.504,-18.066,-85.938,0
1664560763.932,-75.684,-51.270,-29.785,-46.387,0
1664560763.936,31.250,-47.363,-29.785,8.789,0
1664560763.953,-41.016,-36.133,-8.301,-25.391,0
1664560763.957,-179.199,-29.297,-22.461,-116.699,0
1664560763.961,-153.320,-28.320,-37.598,-122.559,0
1664560763.965,-25.391,-33.691,-32.227,-56.152,0
1664560763.969,-80.566,-34.668,-28.809,-92.773,0
1664560763.973,-221.680,-23.438,-20.996,-182.129,0
1664560763.977,-239.746,-23.438,-28.809,-203.125,0
1664560763.980,-140.137,-30.762,-49.316,-163.086,0
1664560763.984,-120.605,-23.926,-42.480,-156.250,0
1664560763.988,-255.859,-26.855,-37.109,-231.934,0
1664560763.992,-327.148,-37.109,-46.387,-284.668,0
1664560763.996,-196.777,-27.832,-45.410,-218.750,0
1664560763.998,-104.980,-29.297,-51.270,-174.316,0
1664560764.002,-220.215,-37.598,-51.270,-238.281,0
1664560764.006,-310.547,-41.016,-47.363,-284.180,0
1664560764.010,-228.516,-49.316,-56.152,-237.305,0
1664560764.014,-101.562,-43.457,-58.594,-162.598,0
1664560764.018,-162.598,-36.621,-58.594,-192.871,0
1664560764.022,-262.695,-35.156,-63.477,-248.535,0
1664560764.025,-213.379,-37.109,-72.266,-218.750,0
1664560764.029,-62.500,-36.621,-79.102,-116.211,0
1664560764.033,-67.383,-43.945,-85.938,-104.980,0
1664560764.037,-199.219,-49.805,-85.938,-183.594,0
1664560764.041,-197.754,-41.504,-75.195,-179.688,0
1664560764.045,-45.898,-37.598,-76.172,-94.727,0
1664560764.049,11.719,-37.109,-77.148,-55.176,0
1664560764.053,-106.934,-40.527,-77.148,-108.398,0
1664560764.057,-153.320,-41.992,-74.707,-127.930,0
1664560764.061,-23.926,-42.969,-69.336,-41.016,0
1664560764.065,74.707,-45.898,-74.707,20.020,0
1664560764.069,-32.227,-50.293,-84.961,-46.387,0
1664560764.072,-121.094,-49.316,-77.148,-78.613,0
1664560764.076,-29.297,-50.293,-70.312,-3.418,0
1664560764.080,84.473,-67.871,-85.938,59.082,0
1664560764.084,30.762,-63.965,-77.637,35.645,0
1664560764.088,-70.312,-55.664,-62.988,-16.602,0
1664560764.088,-39.062,-64.453,-67.871,-3.906,0
1664560764.092,99.609,-68.359,-75.195,74.219,0
1664560764.096,102.051,-60.059,-69.824,78.613,0
1664560764.100,-31.738,-59.082,-66.895,8.789,0
1664560764.104,-52.734,-63.477,-69.824,-0.488,0
1664560764.108,87.402,-63.965,-69.336,80.078,0
1664560764.112,131.836,-66.895,-74.219,107.422,0
1664560764.115,15.625,-63.477,-71.289,53.711,0
1664560764.119,-54.199,-63.965,-80.078,20.020,0
1664560764.123,38.086,-74.707,-101.074,51.270,0
1664560764.127,161.133,-67.871,-93.262,117.188,0
1664560764.131,62.988,-63.477,-90.332,66.406,0
1664560764.133,-54.199,-66.895,-99.609,-0.488,0
1664560764.137,16.602,-68.359,-104.492,43.945,0
1664560764.141,160.645,-62.012,-99.609,124.512,0
1664560764.145,102.539,-58.105,-94.238,97.656,0
1664560764.149,-39.551,-60.059,-96.191,22.949,0
1664560764.153,-13.184,-59.570,-94.727,36.621,0
1664560764.157,129.395,-59.570,-98.633,112.305,0
1664560764.160,133.301,-60.059,-98.633,112.305,0
1664560764.164,-20.020,-70.312,-106.445,14.648,0
1664560764.168,-60.059,-65.918,-103.027,-5.859,0
1664560764.172,78.125,-62.500,-98.633,81.543,0
1664560764.176,142.090,-65.918,-103.516,110.352,0
1664560764.178,18.066,-63.965,-105.957,27.344,0
1664560764.182,-61.523,-60.547,-103.516,-16.602,0
1664560764.186,41.992,-56.641,-99.121,51.270,0
1664560764.190,154.297,-58.594,-101.074,113.770,0
1664560764.194,63.477,-53.223,-92.773,57.617,0
1664560764.198,-53.711,-51.270,-87.402,-9.277,0
1664560764.202,-1.465,-58.105,-87.891,32.715,0
