timestamps,TP9,AF7,AF8,TP10
1667247689.920,-1000.000,-1000.000,-546.387,-1000.000
1667247689.924,-485.352,-992.188,-552.246,-1000.000
1667247689.928,-927.734,389.160,-488.281,388.672
1667247689.932,685.059,823.730,-479.492,-976.074
1667247689.936,-900.879,-582.520,-531.250,-455.566
1667247689.940,-981.934,-1000.000,-534.180,-1000.000
1667247689.944,505.371,-57.129,-460.449,-83.984
1667247689.947,-840.332,-923.828,-449.219,-809.570
1667247689.951,-173.828,-96.191,-471.680,174.805
1667247689.955,-1000.000,-1000.000,-511.719,-1000.000
1667247689.959,-88.379,-377.441,-535.156,-294.922
1667247689.963,-789.551,-921.387,-485.352,-828.125
1667247689.963,212.402,214.355,-503.906,239.258
1667247689.967,-1000.000,-1000.000,-559.082,-1000.000
1667247689.971,-270.508,-748.047,-549.805,-684.570
1667247689.975,-812.500,744.141,-470.703,936.523
1667247689.979,346.680,546.875,-471.191,580.078
1667247689.983,-1000.000,-937.500,-539.551,-957.520
1667247689.987,-596.680,-1000.000,-541.992,-1000.000
1667247689.990,992.188,257.324,-444.336,243.164
1667247689.994,817.871,894.043,-400.391,-931.641
1667247689.998,-720.703,-462.402,-573.242,-356.445
1667247690.002,-1000.000,-1000.000,-582.031,-1000.000
1667247690.006,292.480,-154.297,-490.234,-181.152
1667247690.008,-805.664,-912.598,-478.027,-832.031
1667247690.012,-63.965,-19.043,-558.105,171.387
1667247690.016,-1000.000,-1000.000,-566.895,-1000.000
1667247690.020,-210.938,-487.305,-475.098,-339.355
1667247690.024,-811.523,-990.723,-465.820,-847.168
1667247690.028,228.516,290.527,-482.910,282.227
1667247690.032,-1000.000,-1000.000,-513.672,-1000.000
1667247690.035,-294.922,-824.219,-487.793,-800.781
1667247690.039,-825.195,642.090,-480.469,791.016
1667247690.043,451.660,641.602,-527.344,728.027
1667247690.047,-1000.000,-827.637,-587.891,-844.238
1667247690.051,-714.844,-1000.000,-436.523,-1000.000
1667247690.053,870.117,137.207,-368.652,181.641
1667247690.057,951.172,965.332,-518.066,-870.117
1667247690.061,-532.715,-337.891,-528.320,-209.473
1667247690.065,-1000.000,-1000.000,-533.691,-1000.000
1667247690.069,142.578,-225.586,-506.836,-220.215
1667247690.073,-788.086,-908.203,-442.871,-836.914
1667247690.077,36.133,35.156,-459.473,226.074
1667247690.080,-1000.000,-1000.000,-513.672,-1000.000
1667247690.084,-246.094,-585.449,-538.574,-526.367
1667247690.088,-817.383,917.480,-494.629,-923.340
1667247690.092,236.328,352.539,-524.902,363.770
1667247690.096,-1000.000,-1000.000,-578.613,-1000.000
1667247690.099,-398.438,-923.828,-550.781,-1000.000
1667247690.103,-871.094,485.840,-475.586,471.680
1667247690.107,555.664,730.957,-460.938,819.336
1667247690.111,-1000.000,-716.797,-572.266,-762.695
1667247690.115,-822.754,-1000.000,-562.500,-1000.000
1667247690.119,716.797,59.570,-476.074,30.762
1667247690.123,-915.039,-972.168,-371.094,-810.547
1667247690.126,-323.242,-214.844,-420.898,44.922
1667247690.130,-1000.000,-1000.000,-569.336,-1000.000
1667247690.134,45.410,-284.668,-509.277,-243.652
1667247690.138,-777.344,-878.906,-470.215,-818.359
1667247690.142,176.758,170.898,-554.199,237.793
1667247690.144,-1000.000,-1000.000,-590.820,-1000.000
1667247690.148,-265.625,-634.277,-474.609,-457.031
1667247690.152,-809.570,879.395,-430.664,-895.996
1667247690.156,270.996,471.680,-523.438,517.578
1667247690.160,-1000.000,-1000.000,-586.426,-1000.000
1667247690.164,-473.633,-998.047,-468.262,-845.215
1667247690.168,-922.363,379.395,-390.137,703.125
1667247690.171,688.477,827.148,-507.324,987.793
1667247690.175,-900.391,-579.590,-592.285,-467.285
1667247690.179,-968.262,-1000.000,-514.648,-1000.000
1667247690.183,525.879,-46.875,-435.059,-32.715
1667247690.187,-840.332,-914.062,-513.184,-803.711
1667247690.203,-167.480,-80.566,-569.824,137.695
1667247690.207,-1000.000,-1000.000,-566.895,-1000.000
1667247690.211,-78.125,-361.816,-520.508,-265.137
1667247690.215,-787.109,-903.320,-506.836,-818.848
1667247690.219,210.938,232.910,-531.250,251.953
1667247690.223,-1000.000,-1000.000,-521.484,-1000.000
1667247690.227,-271.484,-731.934,-477.539,-565.430
1667247690.230,-811.523,767.090,-455.566,-969.727
1667247690.234,355.957,554.688,-513.184,624.512
1667247690.238,-1000.000,-935.547,-496.094,-912.598
1667247690.242,-572.266,-1000.000,-474.609,-1000.000
1667247690.246,-997.559,293.945,-508.301,283.203
1667247690.248,832.031,902.832,-476.074,-852.539
1667247690.252,-709.473,-454.590,-537.109,-202.637
1667247690.256,-1000.000,-1000.000,-574.707,-1000.000
1667247690.260,340.332,-126.953,-520.996,-161.133
1667247690.264,-806.641,-899.902,-458.008,-815.430
1667247690.268,-57.129,-14.160,-473.145,201.660
1667247690.272,-1000.000,-1000.000,-551.758,-1000.000
1667247690.275,-196.777,-462.402,-526.855,-344.238
1667247690.279,-806.641,-966.309,-427.246,-844.238
1667247690.283,225.098,301.270,-468.750,292.480
