timestamps,TP9,AF7,AF8,TP10,marker
1664554122.219,-207.031,-60.059,-44.434,-240.234,0
1664554122.223,-225.098,-64.453,-31.738,-250.977,0
1664554122.227,-203.125,-71.777,-47.852,-209.473,0
1664554122.231,-201.660,-64.453,-47.363,-206.543,0
1664554122.235,-228.027,-63.965,-40.527,-250.488,0
1664554122.239,-256.836,-78.125,-27.344,-268.066,0
1664554122.243,-238.770,-83.008,-32.715,-221.680,0
1664554122.246,-216.797,-75.195,-49.316,-203.613,0
1664554122.250,-199.219,-74.707,-39.551,-211.426,0
1664554122.254,-223.633,-96.191,-27.832,-217.773,0
1664554122.258,-216.797,-95.215,-49.805,-189.941,0
1664554122.262,-174.316,-76.172,-59.570,-155.762,0
1664554122.264,-149.902,-76.660,-46.875,-148.926,0
1664554122.268,-168.457,-81.543,-52.246,-182.129,0
1664554122.272,-159.180,-71.777,-60.059,-157.715,0
1664554122.276,-101.074,-64.453,-61.523,-88.867,0
1664554122.280,-73.242,-72.266,-49.316,-63.965,0
1664554122.284,-106.934,-78.613,-41.504,-103.027,0
1664554122.288,-118.164,-82.031,-56.152,-112.793,0
1664554122.291,-65.918,-78.613,-68.848,-45.410,0
1664554122.295,-27.832,-81.543,-50.293,1.465,0
1664554122.299,-43.457,-84.961,-50.293,-34.668,0
1664554122.303,-85.938,-72.266,-81.055,-102.539,0
1664554122.307,-27.832,-72.754,-80.566,-39.062,0
1664554122.309,9.766,-74.707,-78.613,11.230,0
1664554122.313,0.977,-68.359,-83.984,-11.230,0
1664554122.317,-20.996,-62.988,-84.961,-50.781,0
1664554122.321,12.695,-62.988,-79.102,-4.395,0
1664554122.325,53.223,-65.918,-75.195,53.711,0
1664554122.329,46.875,-70.312,-77.148,48.828,0
1664554122.333,6.348,-69.824,-86.914,-20.996,0
1664554122.336,9.277,-66.895,-82.520,-20.020,0
1664554122.340,63.477,-74.219,-65.430,73.730,0
1664554122.344,53.223,-69.336,-83.496,57.129,0
1664554122.348,13.672,-59.570,-90.820,-14.160,0
1664554122.352,13.184,-63.477,-75.684,-6.348,0
1664554122.353,52.734,-64.453,-68.848,48.340,0
1664554122.357,58.105,-55.664,-78.613,52.734,0
1664554122.361,44.922,-61.523,-75.195,29.297,0
1664554122.365,11.719,-67.871,-70.312,-6.348,0
1664554122.369,34.668,-58.594,-69.824,25.391,0
1664554122.373,59.570,-58.105,-65.918,60.547,0
1664554122.377,39.551,-61.523,-69.336,32.227,0
1664554122.380,17.578,-62.500,-50.781,2.930,0
1664554122.384,23.926,-67.383,-55.176,12.695,0
1664554122.388,16.113,-58.594,-91.309,4.395,0
1664554122.392,29.785,-44.922,-76.660,11.719,0
1664554122.396,-1.953,-54.688,-70.801,-38.086,0
1664554122.399,-25.391,-61.035,-79.102,-49.316,0
1664554122.403,20.020,-47.852,-67.383,20.020,0
1664554122.407,35.156,-47.363,-60.547,36.621,0
1664554122.411,-2.930,-53.223,-66.406,-15.625,0
1664554122.415,-31.738,-58.105,-63.477,-45.898,0
1664554122.419,3.906,-59.082,-56.152,9.277,0
1664554122.423,20.020,-56.152,-58.594,28.809,0
1664554122.426,3.906,-61.523,-53.223,3.906,0
1664554122.430,-43.945,-53.711,-65.918,-57.129,0
1664554122.434,-21.973,-36.133,-73.730,-43.457,0
1664554122.438,19.043,-40.039,-54.199,10.742,0
1664554122.442,4.883,-47.852,-54.688,-4.883,0
1664554122.444,-44.434,-43.945,-71.777,-70.312,0
1664554122.448,-30.762,-45.410,-70.801,-52.246,0
1664554122.452,18.066,-52.246,-57.129,13.184,0
1664554122.456,9.277,-52.246,-55.664,0.000,0
1664554122.460,-46.875,-53.223,-60.547,-72.266,0
1664554122.464,-51.758,-56.152,-55.176,-70.312,0
1664554122.468,1.465,-62.988,-39.551,11.230,0
1664554122.471,-0.488,-73.730,-43.945,18.555,0
1664554122.475,-54.199,-60.547,-70.801,-68.359,0
1664554122.479,-68.359,-42.480,-61.523,-104.004,0
1664554122.483,-11.230,-43.457,-50.781,-31.250,0
1664554122.487,4.883,-47.852,-58.594,-3.418,0
1664554122.489,-21.484,-40.527,-70.312,-50.781,0
1664554122.493,-51.758,-43.945,-60.547,-83.984,0
1664554122.497,-28.320,-45.410,-60.059,-45.898,0
1664554122.501,-2.441,-41.504,-66.895,-12.695,0
1664554122.505,-5.859,-39.551,-56.641,-28.809,0
1664554122.509,-44.434,-46.387,-50.293,-75.195,0
1664554122.513,-38.086,-59.082,-44.434,-40.039,0
1664554122.516,-13.184,-47.852,-59.082,-12.695,0
1664554122.520,-17.090,-41.016,-67.383,-38.086,0
1664554122.524,-24.902,-44.434,-47.363,-60.059,0
1664554122.528,-46.875,-41.016,-55.176,-77.637,0
1664554122.532,-17.090,-32.227,-64.941,-35.156,0
1664554122.534,6.348,-29.785,-63.965,-22.461,0
1664554122.538,-15.625,-51.270,-51.270,-50.293,0
1664554122.542,-58.594,-59.570,-53.711,-91.309,0
1664554122.546,-43.945,-45.898,-64.453,-64.453,0
1664554122.550,-14.648,-43.945,-53.223,-19.043,0
1664554122.554,12.207,-62.012,-31.738,6.348,0
1664554122.558,-32.227,-66.895,-32.715,-45.898,0
1664554122.561,-79.590,-47.363,-67.871,-101.562,0
1664554122.565,-50.781,-40.527,-79.590,-73.730,0
1664554122.569,-28.320,-45.410,-65.918,-49.805,0
1664554122.573,-82.031,-42.480,-72.754,-117.188,0
1664554122.577,-90.820,-43.945,-81.055,-119.141,0
1664554122.594,-51.270,-41.504,-71.289,-57.617,0
1664554122.598,-54.688,-36.621,-77.148,-70.312,0
1664554122.602,-95.703,-39.062,-82.031,-126.953,0
1664554122.606,-120.605,-40.039,-69.824,-145.508,0
1664554122.610,-69.336,-41.992,-61.035,-77.637,0
1664554122.614,-41.992,-49.316,-53.223,-40.039,0
1664554122.618,-78.125,-50.781,-67.383,-90.820,0
1664554122.621,-116.699,-41.992,-72.754,-146.484,0
1664554122.625,-67.871,-42.480,-61.035,-80.566,0
1664554122.629,-38.574,-49.805,-62.012,-34.668,0
1664554122.633,-66.406,-42.480,-80.078,-80.566,0
1664554122.637,-106.445,-36.621,-80.078,-141.602,0
1664554122.639,-76.660,-41.016,-62.012,-103.516,0
1664554122.643,-27.832,-48.340,-52.246,-40.527,0
1664554122.647,-47.363,-44.434,-61.523,-61.035,0
1664554122.651,-100.098,-38.574,-67.871,-125.488,0
1664554122.655,-94.727,-41.016,-58.105,-113.770,0
1664554122.659,-56.152,-50.293,-58.594,-50.293,0
1664554122.663,-57.617,-49.316,-65.430,-51.270,0
1664554122.666,-84.961,-39.551,-70.312,-109.375,0
1664554122.670,-91.309,-45.410,-54.199,-116.211,0
1664554122.674,-59.082,-57.617,-58.594,-60.547,0
1664554122.678,-67.383,-49.805,-89.844,-74.707,0
1664554122.682,-78.613,-45.410,-80.566,-105.469,0
1664554122.684,-112.305,-53.711,-67.383,-143.066,0
1664554122.688,-86.914,-53.223,-69.336,-107.910,0
1664554122.692,-49.805,-46.387,-70.801,-62.988,0
1664554122.696,-53.223,-50.293,-60.547,-70.312,0
1664554122.700,-90.820,-55.176,-52.734,-116.699,0
1664554122.704,-84.961,-51.758,-55.664,-101.562,0
1664554122.708,-54.199,-48.340,-59.570,-51.270,0
1664554122.711,-52.734,-48.828,-63.477,-63.477,0
1664554122.715,-81.543,-61.035,-49.805,-103.027,0
1664554122.719,-111.816,-51.270,-62.500,-130.371,0
1664554122.723,-81.543,-36.621,-74.219,-91.797,0
1664554122.727,-61.523,-46.875,-59.570,-60.547,0
1664554122.729,-77.148,-50.293,-52.734,-94.727,0
1664554122.733,-107.910,-42.969,-58.594,-139.648,0
1664554122.737,-71.777,-37.598,-65.918,-91.309,0
1664554122.741,-37.598,-39.062,-53.223,-41.016,0
1664554122.745,-51.270,-43.945,-42.480,-67.383,0
1664554122.749,-90.332,-45.410,-44.922,-117.676,0
1664554122.753,-75.195,-40.039,-51.758,-84.961,0
1664554122.756,-27.832,-46.875,-37.109,-8.301,0
1664554122.760,-36.621,-51.270,-32.715,-22.461,0
1664554122.764,-104.980,-43.457,-65.430,-128.906,0
1664554122.768,-89.844,-42.969,-60.059,-111.816,0
1664554122.772,-48.340,-43.457,-53.711,-38.574,0
