timestamps,TP9,AF7,AF8,TP10,marker
1663770801.908,-238.281,-258.789,235.840,212.402,0
1663770801.912,-810.059,-805.176,-1000.000,-1000.000,0
1663770801.916,236.816,241.211,-320.801,-269.043,0
1663770801.920,-1000.000,-1000.000,-829.590,-802.734,0
1663770801.924,-317.383,-490.723,494.141,341.797,0
1663770801.928,-829.590,-905.273,-1000.000,-1000.000,0
1663770801.932,499.023,589.844,-779.785,-567.383,0
1663770801.935,-1000.000,-985.840,795.898,-969.238,0
1663770801.939,-799.316,-992.188,-987.793,773.438,0
1663770801.943,771.973,458.496,-455.078,-801.758,0
1663770801.947,-966.309,-828.613,-1000.000,-1000.000,0
1663770801.951,-434.082,-166.504,83.496,383.301,0
1663770801.955,-1000.000,-1000.000,-775.391,-808.105,0
1663770801.959,100.586,-110.352,125.977,-79.102,0
1663770801.963,-774.414,-786.621,-1000.000,-1000.000,0
1663770801.967,96.680,219.727,-253.906,-200.684,0
1663770801.971,-1000.000,-1000.000,-805.664,-802.734,0
1663770801.975,-250.488,-268.066,240.234,229.980,0
1663770801.979,-809.570,-804.199,-1000.000,-1000.000,0
1663770801.982,241.699,345.703,-436.035,-270.020,0
1663770801.986,-1000.000,-1000.000,-884.766,-808.594,0
1663770801.990,-459.961,-613.281,607.910,437.988,0
1663770801.994,-897.461,978.516,-987.793,-1000.000,0
1663770801.998,630.859,854.492,-925.781,-658.691,0
1663770802.000,-979.492,-672.363,581.543,943.848,0
1663770802.004,-931.152,-1000.000,-860.352,925.293,0
1663770802.008,584.961,229.980,-228.516,-562.988,0
1663770802.012,-854.492,-787.598,-1000.000,-1000.000,0
1663770802.016,-242.676,-27.832,-61.035,140.625,0
1663770802.020,-1000.000,-1000.000,-780.762,-776.367,0
1663770802.024,-15.137,-219.238,214.355,78.613,0
1663770802.027,-773.926,-806.641,-1000.000,-1000.000,0
1663770802.031,208.496,236.328,-266.602,-248.535,0
1663770802.035,-1000.000,-1000.000,-803.223,-806.152,0
1663770802.039,-270.020,-337.402,307.129,238.770,0
1663770802.043,-803.223,-835.449,-1000.000,-1000.000,0
1663770802.045,341.309,502.441,-552.246,-370.605,0
1663770802.049,-1000.000,-1000.000,-972.168,-849.609,0
1663770802.053,-567.383,-765.625,781.738,543.457,0
1663770802.057,-970.703,811.523,-775.879,-1000.000,0
1663770802.061,773.926,-980.957,-1000.000,-854.492,0
1663770802.065,-804.688,-445.801,347.656,674.316,0
1663770802.069,-1000.000,-1000.000,-803.711,-889.160,0
1663770802.072,400.879,101.074,-74.707,-287.109,0
1663770802.076,-811.523,-773.926,-1000.000,-1000.000,0
1663770802.080,-91.797,97.168,-186.523,-7.324,0
1663770802.084,-1000.000,-1000.000,-798.828,-773.926,0
1663770802.088,-198.242,-250.000,229.004,208.496,0
1663770802.092,-803.711,-808.105,-1000.000,-1000.000,0
1663770802.096,229.980,241.699,-280.273,-263.672,0
1663770802.100,-1000.000,-1000.000,-812.012,-802.246,0
1663770802.104,-270.020,-450.195,431.641,240.723,0
1663770802.108,-809.082,-893.066,-1000.000,-1000.000,0
1663770802.112,437.500,632.812,-683.594,-490.723,0
1663770802.116,-1000.000,-974.121,908.203,-931.641,0
1663770802.119,-660.156,-935.059,936.035,708.984,0
1663770802.123,947.754,576.660,-556.641,-866.699,0
1663770802.127,912.109,-850.098,-1000.000,-1000.000,0
1663770802.131,-585.449,-215.820,155.273,428.223,0
1663770802.135,-1000.000,-1000.000,-778.809,-816.895,0
1663770802.134,150.391,-61.523,50.293,-129.883,0
1663770802.138,-776.367,-780.762,-1000.000,-1000.000,0
1663770802.142,78.613,214.355,-245.117,-125.977,0
1663770802.146,-1000.000,-1000.000,-808.594,-787.109,0
